Model,Class,Precision,Recall,F1,Support
DecisionTree,Normal,0.9988193624557261,0.7086812051489683,0.8291001747709195,35813.0
DecisionTree,Attack,0.016311521780124457,0.8522167487684729,0.032010361735590714,203.0
RandomForest,Normal,0.9983490234649431,0.7935945047887638,0.8842737356295017,35813.0
RandomForest,Attack,0.02066772655007949,0.7684729064039408,0.040252870597342276,203.0
LogisticRegression,Normal,0.9967852201513795,0.6839695082791165,0.8112673257489195,35813.0
LogisticRegression,Attack,0.010837266212200665,0.6108374384236454,0.02129669386002576,203.0
