ID,HexID,ParentCH,TimeseriesCount,LastValue,LastTimestamp
10,000A,FF0A,1,1,25599
66,0042,FF0A,1,70,25362
53,0035,FF0A,7,19,474
18,0012,FF0A,7,73,439
75,004B,FF0A,1,70,25362
19,0013,FF0A,6,57,467
92,005C,FF0A,6,53,385
83,0053,FF0A,1,29,25359
12,000C,FF0A,6,10,412
43,002B,FF0A,6,44,363
93,005D,FF0A,6,17,427
8,0008,FF0A,1,33,25599
30,001E,FF0A,7,84,457
1,0001,FF0A,7,28,441
89,0059,FF0A,7,13,460
47,002F,FF0A,8,77,361
14,000E,FF0A,1,37,25362
29,001D,FF0A,5,15,421
63,003F,FF0C,1,78,25359
74,004A,FF0C,1,88,370
27,001B,FF0A,2,33,25599
46,002E,FF0A,2,33,25599
49,0031,FF0A,5,32,447
23,0017,FF0A,2,37,25362
17,0011,FF0A,1,70,25362
2,0002,FF0A,5,31,419
58,003A,FF0A,5,70,25362
88,0058,FF0A,2,37,25362
48,0030,FF0A,4,40,440
7,0007,FF0A,1,18,458
25,0019,FF0A,1,70,25362
