ID,HexID,ParentCH,TimeseriesCount,LastValue,LastTimestamp
28,001C,FF0C,1,11,25349
18,0012,FF02,1,82,25434
51,0033,FF02,2,82,25434
20,0014,FF02,8,14,430
67,0043,FF02,8,57,383
13,000D,FF02,3,82,25434
71,0047,FF0C,1,80,25540
83,0053,FF0C,5,80,398
11,000B,FF0C,4,79,357
39,0027,FF02,2,66,25599
45,002D,FF02,1,66,25599
40,0028,FF02,3,82,25434
42,002A,FF02,2,66,25599
46,002E,FF02,5,88,449
62,003E,FF02,3,13,451
17,0011,FF02,3,34,447
52,0034,FF0C,1,64,25540
80,0050,FF0C,3,72,460
60,003C,FF0C,3,98,438
55,0037,FF02,1,66,25599
47,002F,FF02,1,82,25434
70,0046,FF02,1,66,25599
74,004A,FF02,1,82,25434
