ID,HexID,ParentCH,TimeseriesCount,LastValue,LastTimestamp
83,0053,FF07,4,40,482
82,0052,FF06,12,51,488
47,002F,FF06,1,48,25407
65278,FEFE,FF07,1,65176,65501
85,0055,FF07,7,55,469
65022,FDFE,FF07,2,65155,65494
40128,9CC0,FF06,7,65083,65488
65276,FEFC,FF07,9,65066,65491
511,01FF,FF07,5,259,257
49,0031,FF07,1,34,25362
40173,9CED,FF07,3,65094,65497
30,001E,FF06,5,47,25407
48,0030,FF06,9,78,478
6,0006,FF06,9,40,454
64510,FBFE,FF06,2,65151,65454
40170,9CEA,FF06,6,65081,65529
40131,9CC3,FF06,6,65093,65495
59,003B,FF07,2,34,25362
21,0015,FF06,1,47,25407
38,0026,FF06,5,50,408
64254,FAFE,FF06,2,65107,65454
40175,9CEF,FF06,5,65127,65497
57,0039,FF07,1,38,25362
40179,9CF3,FF07,2,65143,65501
64766,FCFE,FF07,2,65100,65494
62,003E,FF07,2,38,25362
31,001F,FF06,1,47,25407
34,0022,FF06,1,47,25407
40,0028,FF06,3,42,465
63998,F9FE,FF06,3,65072,65454
40165,9CE5,FF06,3,65104,65487
20,0014,FF06,1,47,25407
