ID,HexID,ParentCH,TimeseriesCount,LastValue,LastTimestamp
15,000F,FF0B,12,23,492
20,0014,FF0B,2,98,377
80,0050,FF01,1,65,25375
74,004A,FF01,2,99,25599
61,003D,FF01,1,99,25599
37,0025,FF01,9,76,465
65,0041,FF01,9,60,358
88,0058,FF01,1,99,25599
12,000C,FF01,1,72,25366
42,002A,FF01,3,66,393
40,0028,FF01,3,80,400
22,0016,FF01,1,55,25377
6,0006,FF01,2,91,392
72,0048,FF01,2,5,411
32,0020,FF01,1,99,25599
14,000E,FF01,1,55,25377
36,0024,FF01,1,41,407
67,0043,FF01,2,99,25599
45,002D,FF01,1,99,25599
25,0019,FF01,1,99,25599
91,005B,FF01,3,63,450
89,0059,FF01,1,99,25599
64,0040,FF01,1,99,25599
100,0064,FF01,1,75,470
