ID,HexID,ParentCH,TimeseriesCount,LastValue,LastTimestamp
83,0053,FF07,4,40,482
82,0052,FF06,18,69,593
47,002F,FF06,1,48,25407
65278,FEFE,FF07,1,65176,65501
85,0055,FF07,7,55,469
65022,FDFE,FF07,2,65155,65494
40128,9CC0,FF06,11,65024,65488
65276,FEFC,FF06,38,65278,65024
511,01FF,FF06,7,259,257
49,0031,FF07,1,34,25362
40173,9CED,FF07,3,65094,65497
30,001E,FF06,5,47,25407
48,0030,FF06,15,87,547
6,0006,FF06,15,53,542
64510,FBFE,FF06,2,65151,65454
40170,9CEA,FF06,10,65035,65529
40131,9CC3,FF06,10,65070,65495
59,003B,FF07,2,34,25362
21,0015,FF06,1,47,25407
38,0026,FF06,12,50,408
64254,FAFE,FF06,2,65107,65454
40175,9CEF,FF06,9,65127,65497
57,0039,FF07,1,38,25362
40179,9CF3,FF07,2,65143,65501
64766,FCFE,FF07,2,65100,65494
62,003E,FF07,3,38,25362
31,001F,FF06,1,47,25407
34,0022,FF06,1,47,25407
40,0028,FF06,7,42,465
63998,F9FE,FF06,7,65015,65454
40165,9CE5,FF06,9,64912,65481
20,0014,FF06,1,47,25407
23,0017,FF06,4,47,25407
259,0103,FF06,1,65518,65278
32,0020,FF06,1,47,25407
26,001A,FF06,1,40,25404
65048,FE18,FF06,21,40186,65488
78,004E,FF07,1,73,25491
95,005F,FF07,1,88,25371
65020,FDFC,FF06,2,65518,65022
486,01E6,FF07,1,499,84
1027,0403,FF06,8,65048,65518
64508,FBFC,FF06,4,234,487
40190,9CFE,FF06,5,257,511
65279,FEFF,FF06,2,65526,40187
771,0303,FF06,2,65040,65515
65003,FDEB,FF06,2,39936,65491
64984,FDD8,FF06,1,39936,65481
64252,FAFC,FF06,3,998,234
232,00E8,FF06,3,65534,40189
239,00EF,FF06,3,65445,64510
65253,FEE5,FF06,8,64252,65278
231,00E7,FF06,14,97,654
64764,FCFC,FF06,2,486,234
64966,FDC6,FF06,1,39936,65481
63996,F9FC,FF06,1,65048,65518
65023,FDFF,FF06,1,65301,65048
64952,FDB8,FF06,2,39936,65477
63740,F8FC,FF06,2,65278,65024
238,00EE,FF06,2,40187,65486
40183,9CF7,FF06,1,234,487
64936,FDA8,FF06,1,39936,65490
64925,FD9D,FF06,1,39936,65496
29,001D,FF06,2,40,25404
1539,0603,FF06,4,257,511
64892,FD7C,FF06,1,39936,65512
64912,FD90,FF06,1,40180,65480
1795,0703,FF06,1,65445,64510
64873,FD69,FF06,1,39936,65513
64874,FD6A,FF06,4,40180,65475
63484,F7FC,FF06,2,65048,65518
743,02E7,FF06,1,45,611
745,02E9,FF06,1,25574,234
64852,FD54,FF06,2,39936,65514
64854,FD56,FF06,2,40181,65477
64842,FD4A,FF06,1,39936,65512
64841,FD49,FF06,1,40179,65482
64846,FD4E,FF06,1,40181,65481
64997,FDE5,FF06,1,233,610
65010,FDF2,FF06,2,64881,65444
748,02EC,FF06,1,65278,65024
509,01FD,FF06,1,65533,235
515,0203,FF06,1,720,15
