ID,HexID,ParentCH,TimeseriesCount,LastValue,LastTimestamp
15,000F,FF0B,52,16,994
20,0014,FF01,4,99,25343
80,0050,FF01,4,34,25101
74,004A,FF01,3,37,25119
61,003D,FF01,1,99,25599
37,0025,FF01,14,76,465
65,0041,FF01,55,2,969
88,0058,FF01,2,37,25119
12,000C,FF01,3,37,25119
42,002A,FF01,20,36,904
40,0028,FF01,10,73,609
22,0016,FF01,2,99,25343
6,0006,FF01,3,93,488
72,0048,FF01,17,34,25101
32,0020,FF01,4,34,25101
14,000E,FF01,1,55,25377
36,0024,FF01,8,41,407
67,0043,FF01,3,99,25599
45,002D,FF01,3,37,25375
25,0019,FF01,6,99,25343
91,005B,FF01,51,4,819
89,0059,FF01,9,99,909
64,0040,FF01,2,99,25599
100,0064,FF01,49,75,470
60,003C,FF01,2,99,25599
24,0018,FF01,5,34,25101
17,0011,FF01,1,55,25377
98,0062,FF01,16,89,919
78,004E,FF01,2,37,25375
84,0054,FF01,6,99,25087
21,0015,FF01,1,37,25375
34,0022,FF01,22,7,691
94,005E,FF01,3,55,25121
39,0027,FF01,3,37,25375
50,0032,FF01,3,99,25599
23,0017,FF01,3,99,25343
53,0035,FF01,3,72,25097
18,0012,FF01,3,99,25343
47,002F,FF01,12,62,883
0,0000,FF01,2,55,25121
59,003B,FF01,2,99,25599
81,0051,FF01,12,46,909
75,004B,FF01,2,99,25599
73,0049,FF01,3,99,25343
85,0055,FF01,2,99,25087
7,0007,FF01,2,34,25101
77,004D,FF01,8,34,25101
93,005D,FF01,1,99,25343
87,0057,FF01,1,6,25110
29,001D,FF01,2,37,25119
95,005F,FF01,1,37,25119
68,0044,FF01,3,37,24863
3,0003,FF01,2,37,25119
1,0001,FF01,2,37,25119
19,0013,FF01,2,6,25110
96,0060,FF01,2,72,25097
11,000B,FF01,1,99,25343
83,0053,FF01,3,55,25121
48,0030,FF01,1,6,25110
70,0046,FF01,1,72,25097
35,0023,FF01,3,37,25119
52,0034,FF01,3,37,25119
79,004F,FF01,1,99,25343
71,0047,FF01,1,99,25343
26,001A,FF01,1,99,25343
16,0010,FF01,1,6,25110
97,0061,FF01,1,72,25097
13,000D,FF01,3,37,24863
76,004C,FF01,3,72,25097
27,001B,FF01,1,6,25110
31,001F,FF01,1,6,25110
30,001E,FF01,1,99,25343
8,0008,FF01,3,37,24863
92,005C,FF01,1,34,25101
