ID,HexID,ParentCH,TimeseriesCount,LastValue,LastTimestamp
83,0053,FF07,4,40,482
82,0052,FF06,22,79,905
47,002F,FF06,1,48,25407
65278,FEFE,FF07,1,65176,65501
85,0055,FF06,8,40,25148
65022,FDFE,FF07,2,65155,65494
40128,9CC0,FF06,11,65024,65488
65276,FEFC,FF06,75,65278,64768
511,01FF,FF06,11,259,257
49,0031,FF07,1,34,25362
40173,9CED,FF07,3,65094,65497
30,001E,FF06,5,47,25407
48,0030,FF06,15,87,547
6,0006,FF06,18,85,767
64510,FBFE,FF06,2,65151,65454
40170,9CEA,FF06,10,65035,65529
40131,9CC3,FF06,10,65070,65495
59,003B,FF07,2,34,25362
21,0015,FF06,2,47,25151
38,0026,FF06,15,50,408
64254,FAFE,FF06,2,65107,65454
40175,9CEF,FF06,9,65127,65497
57,0039,FF07,1,38,25362
40179,9CF3,FF07,2,65143,65501
64766,FCFE,FF07,2,65100,65494
62,003E,FF07,3,38,25362
31,001F,FF06,1,47,25407
34,0022,FF06,1,47,25407
40,0028,FF06,7,42,465
63998,F9FE,FF06,7,65015,65454
40165,9CE5,FF06,9,64912,65481
20,0014,FF06,1,47,25407
23,0017,FF06,4,47,25407
259,0103,FF06,2,680,89
32,0020,FF06,1,47,25407
26,001A,FF06,1,40,25404
65048,FE18,FF06,38,40186,65488
78,004E,FF06,2,40,25148
95,005F,FF07,1,88,25371
65020,FDFC,FF06,3,257,511
486,01E6,FF07,1,499,84
1027,0403,FF06,8,65048,65518
64508,FBFC,FF06,4,234,487
40190,9CFE,FF06,10,257,767
65279,FEFF,FF06,2,65526,40187
771,0303,FF06,3,14,805
65003,FDEB,FF06,2,39936,65491
64984,FDD8,FF06,1,39936,65481
64252,FAFC,FF06,4,25090,90
232,00E8,FF06,4,65300,64874
239,00EF,FF06,4,65020,65278
65253,FEE5,FF06,18,65278,65024
231,00E7,FF06,43,63484,65278
64764,FCFC,FF06,5,257,511
64966,FDC6,FF06,1,39936,65481
63996,F9FC,FF06,2,65278,65024
65023,FDFF,FF06,1,65301,65048
64952,FDB8,FF06,2,39936,65477
63740,F8FC,FF06,3,65278,64768
238,00EE,FF06,9,229,853
40183,9CF7,FF06,1,234,487
64936,FDA8,FF06,1,39936,65490
64925,FD9D,FF06,1,39936,65496
29,001D,FF06,2,40,25404
1539,0603,FF06,4,257,511
64892,FD7C,FF06,1,39936,65512
64912,FD90,FF06,1,40180,65480
1795,0703,FF06,2,257,511
64873,FD69,FF06,1,39936,65513
64874,FD6A,FF06,6,40180,65475
63484,F7FC,FF06,18,64641,65445
743,02E7,FF06,1,45,611
745,02E9,FF06,1,25574,234
64852,FD54,FF06,2,39936,65514
64854,FD56,FF06,2,40181,65477
64842,FD4A,FF06,1,39936,65512
64841,FD49,FF06,1,40179,65482
64846,FD4E,FF06,1,40181,65481
64997,FDE5,FF06,6,235,782
65010,FDF2,FF06,2,64881,65444
748,02EC,FF06,1,65278,65024
509,01FD,FF06,2,65445,63486
515,0203,FF06,2,66,720
64811,FD2B,FF06,2,40192,65504
64823,FD37,FF06,2,40179,65483
64816,FD30,FF06,6,40181,65475
235,00EB,FF06,7,63484,65278
2051,0803,FF06,10,64729,65486
230,00E6,FF06,8,234,487
65005,FDED,FF06,2,63484,65278
751,02EF,FF06,1,65301,65048
754,02F2,FF06,2,2051,257
64797,FD1D,FF06,1,40192,65512
64793,FD19,FF06,1,40179,65475
64810,FD2A,FF06,1,40180,65464
65002,FDEA,FF06,1,64815,65444
64772,FD04,FF06,1,40192,65522
64771,FD03,FF06,2,40179,65473
64786,FD12,FF06,1,40180,65470
65008,FDF0,FF06,1,40191,65499
755,02F3,FF06,2,25348,57
756,02F4,FF06,1,65278,65024
64756,FCF4,FF06,1,40192,65524
64760,FCF8,FF06,1,40180,65476
64753,FCF1,FF06,12,40184,65484
64999,FDE7,FF06,2,237,725
64741,FCE5,FF06,1,40192,65523
64746,FCEA,FF06,1,40435,65473
64744,FCE8,FF06,1,40436,65466
762,02FA,FF06,2,25575,235
40421,9DE5,FF06,6,65436,40192
64715,FCCB,FF06,3,40192,65529
64723,FCD3,FF06,3,40435,65482
64721,FCD1,FF06,3,40436,65466
64730,FCDA,FF06,6,40437,65468
64729,FCD9,FF06,6,40444,65531
63742,F8FE,FF06,1,64731,65445
40186,9CFA,FF06,1,65040,65515
40444,9DFC,FF06,3,65040,65515
40184,9CF8,FF06,5,64633,65511
40181,9CF5,FF06,1,64753,65519
40437,9DF5,FF06,5,64753,65519
40436,9DF4,FF06,5,64661,65525
764,02FC,FF06,2,25575,235
64682,FCAA,FF06,1,40192,65535
64688,FCB0,FF06,3,40435,65488
64680,FCA8,FF06,8,40436,65461
763,02FB,FF06,1,65303,64797
64671,FC9F,FF06,2,40192,65530
63486,F7FE,FF06,6,64663,65454
40387,9DC3,FF06,2,64795,65495
40431,9DEF,FF06,2,65127,65497
40439,9DF7,FF06,2,64798,65528
40426,9DEA,FF06,2,64768,65529
40384,9DC0,FF06,2,64666,65488
40180,9CF4,FF06,2,64672,65532
15,000F,FF06,1,47,25151
45,002D,FF06,3,48,25114
3,0003,FF06,3,83,863
7,0007,FF06,3,55,737
765,02FD,FF06,2,65445,63486
84,0054,FF06,1,40,25148
40192,9D00,FF06,4,64631,65436
40435,9DF3,FF06,4,64680,65481
234,00EA,FF06,2,230,806
1283,0503,FF06,1,41,854
64632,FC78,FF06,2,40192,65519
64631,FC77,FF06,5,40435,65493
64661,FC95,FF06,5,40437,65458
64633,FC79,FF06,5,40440,65484
27,001B,FF06,1,47,25151
64610,FC62,FF06,1,40192,65534
40440,9DF8,FF06,2,65048,65518
64600,FC58,FF06,2,40192,65535
1001,03E9,FF06,1,25318,230
1002,03EA,FF06,1,65278,64768
1003,03EB,FF06,1,25319,236
40446,9DFE,FF06,4,65040,65515
1006,03EE,FF06,4,25106,60
64597,FC55,FF06,1,40440,65448
