ID,HexID,ParentCH,TimeseriesCount,LastValue,LastTimestamp
15,000F,FF0B,31,60,749
20,0014,FF01,3,99,25343
80,0050,FF01,2,37,25375
74,004A,FF01,2,99,25599
61,003D,FF01,1,99,25599
37,0025,FF01,14,76,465
65,0041,FF01,35,8,591
88,0058,FF01,2,37,25119
12,000C,FF01,1,72,25366
42,002A,FF01,11,99,581
40,0028,FF01,10,73,609
22,0016,FF01,1,55,25377
6,0006,FF01,3,93,488
72,0048,FF01,11,65,665
32,0020,FF01,2,99,25599
14,000E,FF01,1,55,25377
36,0024,FF01,8,41,407
67,0043,FF01,3,99,25599
45,002D,FF01,3,37,25375
25,0019,FF01,3,37,25119
91,005B,FF01,31,63,450
89,0059,FF01,3,37,25375
64,0040,FF01,2,99,25599
100,0064,FF01,29,75,470
60,003C,FF01,2,99,25599
24,0018,FF01,3,55,25377
17,0011,FF01,1,55,25377
98,0062,FF01,8,50,633
78,004E,FF01,2,37,25375
84,0054,FF01,3,99,25343
21,0015,FF01,1,37,25375
34,0022,FF01,21,7,691
94,005E,FF01,2,6,25366
39,0027,FF01,3,37,25375
50,0032,FF01,3,99,25599
23,0017,FF01,1,37,25375
53,0035,FF01,1,99,25599
18,0012,FF01,3,99,25343
47,002F,FF01,4,56,676
0,0000,FF01,1,99,25599
59,003B,FF01,2,99,25599
81,0051,FF01,2,12,664
75,004B,FF01,2,99,25599
73,0049,FF01,1,37,25375
85,0055,FF01,1,55,25377
7,0007,FF01,1,6,25366
77,004D,FF01,2,37,25119
93,005D,FF01,1,99,25343
87,0057,FF01,1,6,25110
29,001D,FF01,2,37,25119
95,005F,FF01,1,37,25119
