ID,HexID,ParentCH,TimeseriesCount,LastValue,LastTimestamp
24,0018,FF02,8,29,653
67,0043,FF02,7,22,610
71,0047,FF02,4,63,555
65020,FDFC,FF02,8,65278,65024
40179,9CF3,FF02,2,65161,65533
511,01FF,FF02,13,2051,257
257,0101,FF02,3,65301,1283
50,0032,FF02,3,45,25360
65276,FEFC,FF02,31,64804,65436
357,0165,FF02,1,25356,50
259,0103,FF04,1,65477,65278
65022,FDFE,FF02,3,65163,65518
65278,FEFE,FF04,2,65297,65020
40180,9CF4,FF04,9,65278,65024
6,0006,FF02,7,41,658
60,003C,FF02,1,75,25356
48,0030,FF02,31,47,379
47,002F,FF02,31,51,378
77,004D,FF02,30,89,688
74,004A,FF02,8,48,360
63484,F7FC,FF04,13,65114,65478
65253,FEE5,FF02,14,37,2049
234,00EA,FF02,19,47,25351
235,00EB,FF02,57,79,25354
64508,FBFC,FF02,1,8,257
40181,9CF5,FF02,1,65157,65465
61,003D,FF02,1,75,25356
63996,F9FC,FF02,5,65278,65024
486,01E6,FF04,1,65169,65522
231,00E7,FF02,5,48,25095
40190,9CFE,FF04,2,257,511
236,00EC,FF02,6,77,25352
374,0176,FF02,1,25354,55
380,017C,FF02,1,25356,52
57,0039,FF02,18,44,25356
40189,9CFD,FF02,1,65120,65459
46,002E,FF02,4,45,25360
53,0035,FF02,2,45,25360
75,004B,FF02,24,53,370
1539,0603,FF04,1,65449,64254
63740,F8FC,FF02,3,234,360
64252,FAFC,FF02,3,65278,65024
25574,63E6,FF02,13,608,37
44,002C,FF02,9,76,498
79,004F,FF02,22,66,670
40186,9CFA,FF02,4,64903,65516
64766,FCFE,FF02,4,64897,65518
515,0203,FF04,1,465,82
52,0034,FF02,1,45,25360
59,003B,FF02,1,20,25355
2051,0803,FF02,2,65298,39961
66,0042,FF02,4,20,25355
42,002A,FF02,2,45,25360
237,00ED,FF02,7,77,25352
37,0025,FF02,1,45,25360
39,0027,FF02,2,45,25360
38,0026,FF02,1,45,25360
34,0022,FF02,2,45,25360
4,0004,FF02,2,64,603
65114,FE5A,FF04,1,40079,65487
64978,FDD2,FF04,1,40154,65497
64976,FDD0,FF04,1,40156,65493
64964,FDC4,FF04,1,40160,65475
64986,FDDA,FF04,1,40160,65502
64998,FDE6,FF04,1,40166,65503
65138,FE72,FF04,1,40171,65481
238,00EE,FF02,4,64953,65455
40182,9CF6,FF04,2,65478,63486
15,000F,FF02,1,45,25360
233,00E9,FF02,4,233,522
62,003E,FF02,1,20,25355
54,0036,FF02,2,19,25349
18,0012,FF02,1,45,25360
2278,08E6,FF02,5,596,44
63,003F,FF02,1,20,25355
572,023C,FF02,1,25356,41
23,0017,FF02,3,45,25104
25575,63E7,FF02,2,370,75
73,0049,FF02,1,20,25355
41,0029,FF02,1,19,25349
282,011A,FF02,1,65302,63257
620,026C,FF02,1,25354,32
22,0016,FF02,1,45,25104
27,001B,FF02,1,45,25104
232,00E8,FF02,1,48,25095
40438,9DF6,FF04,1,65478,63486
40443,9DFB,FF04,2,64869,65522
