,Blackhole,DenialOfSleep,Flooding,Grayhole,Normal,PanicFlood,Sybil,Wormhole
Blackhole,12,0,0,0,5,0,0,0
DenialOfSleep,0,7,0,0,6,0,0,0
Flooding,0,0,13,0,7,0,0,0
Grayhole,0,0,0,9,8,0,0,0
Normal,0,1,3,2,49044,0,2,7
PanicFlood,0,0,0,0,6,14,0,0
Sybil,0,0,0,0,6,0,8,0
Wormhole,0,0,0,0,9,0,0,10
