,Blackhole,DenialOfSleep,Flooding,Grayhole,Normal,PanicFlood,Sybil,Wormhole
Blackhole,8,0,0,0,9,0,0,0
DenialOfSleep,0,3,0,0,10,0,0,0
Flooding,0,0,11,0,9,0,0,0
Grayhole,0,0,0,13,4,0,0,0
Normal,9,6,6,5,49015,6,4,8
PanicFlood,0,0,0,0,8,12,0,0
Sybil,0,0,0,0,5,0,9,0
Wormhole,0,0,0,0,7,0,0,12
