AttackTypeName,DecisionTree,RandomForest,ExtraTrees,LightGBM
Blackhole,0.47058823529411764,0.5217391304347826,0.8275862068965517,0.7586206896551724
DenialOfSleep,0.2727272727272727,0.35294117647058826,0.6666666666666666,0.6956521739130435
Flooding,0.5945945945945946,0.6206896551724138,0.7222222222222222,0.8
Grayhole,0.7428571428571429,0.6153846153846154,0.6428571428571429,0.8484848484848485
Normal,0.999021666021238,0.9991953308819784,0.9993683138053999,0.9994292935469407
PanicFlood,0.631578947368421,0.5185185185185185,0.8235294117647058,0.7894736842105263
Sybil,0.6666666666666666,0.6956521739130435,0.6666666666666666,0.7692307692307693
Wormhole,0.6153846153846154,0.5555555555555556,0.5555555555555556,0.6666666666666666
